nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.014902,0.014098,0.000002,0.000802,0.006423,0.005819,0.000003,0.000601,2.000000,3.000000,4.000000
1,1024,0.014183,0.012538,0.000004,0.001641,0.013246,0.011885,0.000029,0.001332,2.000000,4.000000,4.000000
1,1024,0.006126,0.004923,0.000004,0.001199,0.006600,0.005483,0.000004,0.001113,2.000000,4.000000,4.000000
1,1024,0.006554,0.005881,0.000003,0.000670,0.006985,0.006370,0.000002,0.000613,2.000000,3.000000,3.000000
1,1024,0.006859,0.006645,0.000002,0.000212,0.006190,0.006014,0.000004,0.000172,3.000000,4.000000,4.000000
1,1024,0.004285,0.003856,0.000001,0.000428,0.004695,0.004284,0.000002,0.000409,2.000000,3.000000,3.000000
1,1024,0.014839,0.013667,0.000004,0.001168,0.014752,0.013635,0.000006,0.001111,2.000000,4.000000,4.000000
1,1024,0.008890,0.007959,0.000003,0.000928,0.009149,0.008318,0.000007,0.000824,2.000000,3.000000,4.000000
1,1024,0.014820,0.013545,0.000004,0.001271,0.014345,0.013072,0.000007,0.001266,3.000000,4.000000,4.000000
1,1024,0.008750,0.007883,0.000002,0.000865,0.009228,0.008450,0.000003,0.000775,2.000000,3.000000,4.000000
1,1024,0.014105,0.012897,0.000004,0.001204,0.013600,0.012504,0.000004,0.001092,2.000000,4.000000,4.000000
1,1024,0.008385,0.007604,0.000003,0.000778,0.008957,0.008233,0.000003,0.000721,2.000000,4.000000,4.000000
1,1024,0.013887,0.012489,0.000004,0.001394,0.014070,0.012701,0.000006,0.001363,2.000000,4.000000,4.000000
1,1024,0.008315,0.007453,0.000003,0.000859,0.008850,0.008059,0.000004,0.000787,2.000000,3.000000,4.000000
1,1024,0.014529,0.013147,0.000004,0.001378,0.005195,0.012000,0.000007,-0.006812,2.000000,4.000000,4.000000
1,1024,0.013382,0.012065,0.000004,0.001313,0.013538,0.012245,0.000010,0.001283,2.000000,4.000000,4.000000
1,1024,0.007706,0.006352,0.000003,0.001351,0.006988,0.005692,0.000004,0.001292,2.000000,4.000000,4.000000
1,1024,0.010926,0.009905,0.000004,0.001017,0.010675,0.009652,0.000004,0.001019,2.000000,4.000000,4.000000
1,1024,0.009808,0.008857,0.000003,0.000948,0.010624,0.009683,0.000004,0.000937,2.000000,3.000000,4.000000
1,1024,0.014842,0.013460,0.000005,0.001377,0.014694,0.013428,0.000006,0.001260,2.000000,4.000000,4.000000
1,1024,0.008333,0.007550,0.000003,0.000780,0.009214,0.008494,0.000006,0.000714,2.000000,4.000000,4.000000
1,1024,0.006177,0.005524,0.000002,0.000651,0.006601,0.006062,0.000001,0.000538,2.000000,3.000000,3.000000
1,1024,0.006177,0.004552,0.000005,0.001620,0.004379,0.002727,0.000005,0.001647,2.000000,4.000000,4.000000
1,1024,0.004302,0.003869,0.000002,0.000431,0.004689,0.004284,0.000006,0.000399,2.000000,3.000000,3.000000
1,1024,0.014218,0.013057,0.000003,0.001158,0.014280,0.013208,0.000003,0.001069,2.000000,3.000000,4.000000
1,1024,0.008334,0.007526,0.000003,0.000805,0.008626,0.007883,0.000005,0.000738,2.000000,3.000000,4.000000
1,1024,0.014114,0.012715,0.000004,0.001395,0.014179,0.012867,0.000004,0.001308,2.000000,3.000000,4.000000
