nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.057708,0.004904,0.000016,0.052789,0.014383,0.005226,0.000016,0.009141,3.000000,4.000000,5.000000
1,1024,0.051726,0.008098,0.000025,0.043603,0.012858,0.010195,0.000026,0.002637,4.000000,5.000000,5.000000
1,1024,0.061616,0.013696,0.000035,0.047885,0.023763,0.018474,0.000035,0.005254,4.000000,5.000000,5.000000
1,1024,0.050012,0.004791,0.000085,0.045137,0.009209,0.007442,0.000085,0.001682,3.000000,5.000000,5.000000
1,1024,0.057628,0.010585,0.000028,0.047015,0.018682,0.014069,0.000027,0.004586,4.000000,5.000000,5.000000
1,1024,0.051181,0.007755,0.000030,0.043395,0.011354,0.008141,0.000030,0.003183,4.000000,5.000000,5.000000
1,1024,0.065644,0.014595,0.000094,0.050955,0.025307,0.017493,0.000094,0.007720,4.000000,5.000000,5.000000
1,1024,0.062688,0.018261,0.000025,0.044402,0.023752,0.022788,0.000025,0.000939,4.000000,5.000000,5.000000
1,1024,0.056548,0.013609,0.000025,0.042915,0.017693,0.016173,0.000026,0.001494,4.000000,5.000000,5.000000
1,1024,0.048918,0.003108,0.000016,0.045793,0.006575,0.003804,0.000016,0.002755,4.000000,5.000000,5.000000
1,1024,0.050931,0.007656,0.000026,0.043250,0.010402,0.009519,0.000026,0.000857,4.000000,5.000000,5.000000
1,1024,0.057261,0.013290,0.000025,0.043946,0.018725,0.017130,0.000026,0.001569,4.000000,5.000000,5.000000
1,1024,0.051658,0.002967,0.000016,0.048675,0.005462,0.003650,0.000016,0.001796,4.000000,5.000000,5.000000
1,1024,0.046029,0.004200,0.000027,0.041802,0.008162,0.006395,0.000026,0.001741,4.000000,5.000000,5.000000
1,1024,0.068459,0.018438,0.000026,0.049995,0.030711,0.020848,0.000025,0.009838,4.000000,5.000000,5.000000
1,1024,0.050026,0.005778,0.000054,0.044195,0.009900,0.008419,0.000166,0.001315,3.000000,5.000000,5.000000
1,1024,0.053326,0.007296,0.000026,0.046004,0.011402,0.010247,0.000026,0.001129,4.000000,5.000000,5.000000
1,1024,0.045275,0.004182,0.000025,0.041068,0.007628,0.006525,0.000024,0.001079,4.000000,5.000000,5.000000
1,1024,0.050519,0.005947,0.000029,0.044542,0.010950,0.009716,0.000029,0.001205,4.000000,5.000000,5.000000
1,1024,0.056753,0.009489,0.000025,0.047238,0.019956,0.015059,0.000025,0.004872,4.000000,5.000000,5.000000
1,1024,0.053560,0.008404,0.000084,0.045073,0.012635,0.010581,0.000084,0.001970,4.000000,5.000000,5.000000
1,1024,0.063467,0.017927,0.000029,0.045511,0.024068,0.020667,0.000029,0.003372,4.000000,5.000000,5.000000
1,1024,0.061939,0.016541,0.000026,0.045372,0.021689,0.019438,0.000026,0.002225,3.000000,5.000000,5.000000
1,1024,0.047115,0.002748,0.000015,0.044351,0.005095,0.003283,0.000016,0.001796,3.000000,4.000000,5.000000
1,1024,0.051752,0.008658,0.000070,0.043024,0.013298,0.011614,0.000070,0.001614,4.000000,5.000000,5.000000
1,1024,0.055078,0.010496,0.000592,0.043990,0.015760,0.012909,0.001200,0.001651,4.000000,5.000000,5.000000
1,1024,0.045808,0.003949,0.000016,0.041844,0.007075,0.005285,0.000015,0.001775,4.000000,4.000000,5.000000
1,1024,0.047808,0.002892,0.000016,0.044900,0.005725,0.003774,0.000016,0.001935,4.000000,5.000000,5.000000
1,1024,0.054188,0.009333,0.000025,0.044829,0.016963,0.013022,0.000025,0.003916,4.000000,5.000000,5.000000
1,1024,0.046463,0.004864,0.000025,0.041574,0.008346,0.007134,0.000026,0.001186,4.000000,5.000000,5.000000
1,1024,0.049542,0.005261,0.000066,0.044215,0.010613,0.008653,0.000066,0.001894,4.000000,5.000000,5.000000
1,1024,0.062415,0.020590,0.000027,0.041798,0.023747,0.022618,0.000027,0.001102,4.000000,5.000000,5.000000
1,1024,0.047639,0.004536,0.000095,0.043009,0.008188,0.006900,0.000095,0.001193,4.000000,5.000000,5.000000
