nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.049983,0.003015,0.000016,0.046951,0.005117,0.004215,0.000016,0.000886,3.000000,4.000000,4.000000
1,1024,0.044598,0.002709,0.000016,0.041873,0.004730,0.003872,0.000016,0.000842,3.000000,4.000000,4.000000
1,1024,0.044605,0.003025,0.000016,0.041564,0.005095,0.004309,0.000016,0.000770,3.000000,4.000000,4.000000
1,1024,0.044560,0.002709,0.000015,0.041836,0.004707,0.003888,0.000015,0.000804,3.000000,4.000000,4.000000
1,1024,0.044526,0.002888,0.000019,0.041618,0.004964,0.004075,0.000019,0.000870,3.000000,4.000000,4.000000
1,1024,0.044500,0.002899,0.000015,0.041585,0.004862,0.004068,0.000015,0.000779,3.000000,4.000000,4.000000
1,1024,0.044592,0.002927,0.000016,0.041649,0.005244,0.004239,0.000016,0.000989,3.000000,4.000000,4.000000
1,1024,0.044590,0.002572,0.000015,0.042003,0.004626,0.003788,0.000014,0.000824,3.000000,4.000000,4.000000
1,1024,0.048550,0.002552,0.000015,0.045983,0.004720,0.003708,0.000015,0.000997,3.000000,4.000000,4.000000
1,1024,0.044337,0.002744,0.000025,0.041568,0.004845,0.003964,0.000026,0.000855,3.000000,4.000000,4.000000
1,1024,0.046147,0.003123,0.000031,0.042993,0.005229,0.004310,0.000030,0.000889,3.000000,4.000000,4.000000
1,1024,0.044431,0.002785,0.000016,0.041631,0.004917,0.004013,0.000015,0.000889,3.000000,4.000000,4.000000
1,1024,0.044235,0.002906,0.000016,0.041313,0.005063,0.004190,0.000015,0.000858,3.000000,4.000000,4.000000
1,1024,0.044189,0.003005,0.000015,0.041169,0.005097,0.004250,0.000015,0.000832,3.000000,4.000000,4.000000
